Begriff;Abkürzung
anderer Ansicht;a.A.
am angegebenen Ort;a.a.O.
am Ende;a.E.
alte Fassung;a.F.
actio libera in causa;a.l.i.c.
abgedruckt;abgedr.
ablehnend;abl.
Amtsblatt;ABl.
Absatz;Abs.
abweichend;abw.
Amtsgericht;AG
Allgemeine Geschäftsbedingungen;AGB
Allgemeines Gleichbehandlungsgesetz;AGG
Aktiengesetz;AktG
allgemein;allg.
allgemeine Meinung;allg.M.
Alternative;Alt.
Anhang;Anh.
Anlage;Anl.
Anmerkung;Anm.
Abgabenordnung;AO
Arbeitsgericht;ArbG
Arbeitsgerichtsgesetz;ArbGG
Arbeitszeitgesetz;ArbZG
argumentum;arg.
Gegenschluss;arg. e contr.
Artikel;Art.
Artikel (Mehrzahl);Artt.
Asylgesetz;AsylG
Aufenthaltsgesetz;AufenthG
Auflage;Aufl.
ausdrücklich;ausdr.
ausführlich;ausf.
ausschließlich;ausschl.
Aktenzeichen;Az.
Bundesarbeitsgericht;BAG
Bundesanzeiger;BAnz
Baugesetzbuch;BauGB
Bayerisches Oberstes Landesgericht;BayObLG
Bundesberggesetz;BBergG
Band;Bd.
Bundesdatenschutzgesetz;BDSG
beglaubigt;begl.
begründet;begr.
Beilage;Beil.
Beschluss;Beschl.
Besprechung;Bespr.
Bestimmung;Best.
bestritten;bestr.
betreffend;betr.
Betriebsverfassungsgesetz;BetrVG
Beurkundungsgesetz;BeurkG
Berufung;Bfg.
Berufungsgericht;BfgGer.
Bundesfinanzhof;BFH
Bürgerliches Gesetzbuch;BGB
Bundesgesetzblatt;BGBl.
Bundesgerichtshof;BGH
Entscheidungen des Bundesgerichtshofes in Strafsachen;BGHSt
Entscheidungen des Bundesgerichtshofes in Zivilsachen;BGHZ
Begründung;Bgr.
Bundesimmissionsschutzgesetz;BImSchG
Blatt;Bl.
Bundesnaturschutzgesetz;BNatSchG
Bundesnotarordnung;BNotO
Bundespatentgericht;BPatG
Bundesrechtsanwaltsordnung;BRAO
Bundessozialgericht;BSG
Beispiel;Bsp.
beispielsweise;bspw.
Betäubungsmittelgesetz;BtMG
Bundesurlaubsgesetz;BUrlG
Bundesverfassungsgericht;BVerfG
Entscheidungen des Bundesverfassungsgerichts;BVerfGE
Bundesverfassungsgerichtsgesetz;BVerfGG
Bundesverwaltungsgericht;BVerwG
Entscheidungen des Bundesverwaltungsgerichts;BVerwGE
Bundeswahlgesetz;BWahlG
bezüglich;bzgl.
beziehungsweise;bzw.
culpa in contrahendo;c.i.c.
das heißt;d.h.
dagegen;dagg.
derselbe;ders.
dergleichen;dgl.
Drucksache;Drs.
Datenschutz-Grundverordnung;DSGVO
ebenso;ebso.
Einführungsgesetz zum BGB;EGBGB
Europäischer Gerichtshof für Menschenrechte;EGMR
eingeführt;eingef.
entgegen;entgg.
entsprechend;entspr.
Europäisches Parlament;EP
Europäischer Rat;ER
Erbbaurechtsgesetz;ErbbauRG
ergänzend;erg.
Ergebnis;Erg.
Erklärung;Erkl.
Erlass;Erl.
Erwägungsgrund;Erw.Gr.
Einkommensteuergesetz;EStG
und andere;et al.
und so weiter;etc.
Europäischer Gerichtshof;EuGH
eventuell;evtl.
folgende (Seite);f.
folgende (Seiten);ff.
Finanzgericht;FG
Finanzgerichtsordnung;FGO
früher;fr.
Grundbuchordnung;GBO
gemäß;gem.
Gewerbeordnung;GewO
Grundgesetz;GG
gegebenenfalls;ggf.
gegenüber;ggü.
Gerichtskostengesetz;GKG
GmbH-Gesetz;GmbHG
Gemeinsamer Senat der obersten Gerichtshöfe des Bundes;GmS-OGB
Großer Senat;Gr.S.
Grund;Grd.
Gerichtsverfassungsgesetz;GVG
Gesetz gegen Wettbewerbsbeschränkungen;GWB
herrschende Ansicht;h.A.
herrschende Meinung;h.M.
Handlung;Hdlg.
Handelsgesetzbuch;HGB
Herausgeber;Hrsg.
Halbsatz;Hs.
in der Fassung;i.d.F.
in der Regel;i.d.R.
im Einzelnen;i.E.
das heißt (lateinisch);i.e.
im engeren Sinne;i.e.S.
im Ergebnis;i.Erg.
im gleichen Sinn;i.gl.S.
im Grundsatz;i.Grds.
im Rahmen des;i.R.d.
im Rahmen von;i.R.v.
im Sinne von;i.S.v.
in Verbindung mit;i.V.m.
im Wesentlichen;i.W.
im weiteren Sinne;i.w.S.
im Übrigen;i.Ü.
Internationaler Gerichtshof;IGH
Insolvenzordnung;InsO
Internationaler Strafgerichtshof;IStGH
Juristische Arbeitsblätter;JA
Jugendgerichtsgesetz;JGG
juristisch;jur.
Juristische Schulung;JuS
Juristenzeitung;JZ
Kammergericht;KG
kritisch;krit.
Kreislaufwirtschaftsgesetz;KrWG
Kündigungsschutzgesetz;KSchG
Körperschaftsteuergesetz;KStG
laufend;lfd.
littera;lit.
Leitsatz;LS
Landessozialgericht;LSG
laut;lt.
Landesverfassungsgericht;LVerfG
mit Anmerkung;m. Anm.
mit Besprechung;m. Bespr.
mit weiteren Nachweisen;m.w.N.
mit Wirkung vom;m.W.v.
mündlich;mdl.
Monatsschrift für Deutsches Recht;MDR
Mindestlohngesetz;MiLoG
monatlich;mtl.
Mutterschutzgesetz;MuSchG
neue Fassung;n.F.
nomen nominandum;n.n.
nicht rechtskräftig;n.rk.
Neue Juristische Wochenschrift;NJW
Nummer;Nr.
Neue Zeitschrift für Strafrecht;NStZ
Neue Zeitschrift für Verwaltungsrecht;NVwZ
Neue Zeitschrift für Arbeitsrecht;NZA
oben genannte;o.g.
ohne Jahresangabe;o.J.
Oberlandesgericht;OLG
ordentlich;ord.
Orientierungssatz;OS
Oberverwaltungsgericht;OVG
Gesetz über Ordnungswidrigkeiten;OWiG
Polizeiaufgabengesetz;PAG
Produkthaftungsgesetz;ProdHaftG
Personenstandsgesetz;PStG
Rechtsdienstleistungsgesetz;RDG
Randziffer;Rdz.
Revision;Rev.
Richter;Ri.
Randnummer;Rn.
Rechtsprechung;Rspr.
Rechtsanwaltsvergütungsgesetz;RVG
siehe;s.
Satz;S.
siehe auch;s.a.
siehe dort;s.d.
Sachenrechtsbereinigungsgesetz;SachenRBerG
Sozialgericht;SG
Sozialgesetzbuch I;SGB I
Sozialgesetzbuch II;SGB II
Sozialgesetzbuch III;SGB III
Sozialgesetzbuch V;SGB V
Sozialgesetzbuch X;SGB X
Sozialgerichtsgesetz;SGG
skeptisch;skept.
sofortig;sof.
sogenannt;sog.
ständige Rechtsprechung;st.Rspr.
Staatsanwaltschaft;StA
Strafgesetzbuch;StGB
Staatsgerichtshof;StGH
stillschweigend;stillschw.
Strafprozessordnung;StPO
strittig;str.
Streitverfahren;Str.Verf.
Streitwert;StrWert.
Straßenverkehrsgesetz;StVG
Straßenverkehrsordnung;StVO
subjektiv;subj.
teilweise;teilw.
Teilzeit- und Befristungsgesetz;TzBfG
unter anderem;u.a.
und ähnliche;u.ä.
umstritten;umstr.
unbekannt;unbek.
unbestimmt;unbest.
unpfändbar;unpfb.
unzulässig;unzul.
unzuständig;unzustd.
Urheberrechtsgesetz;UrhG
Urteil;Urt.
Urteilsverkündung;UrtVerk.
Umsatzsteuergesetz;UStG
Gesetz gegen den unlauteren Wettbewerb;UWG
von Amts wegen;v.A.w.
Variante;Var.
Verfahren;Verf.
Verfassungsgerichtshof;VerfGH
Verhandlungen;Verh.
Verkündungen;Verk.
Versammlungsgesetz;VersG
Veröffentlichungen;Veröf.
Verfügung;Vfg.
Verwaltungsgericht;VG
Verwaltungsgerichtshof;VGH
vergleiche;vgl.
vorangehend;vorangeh.
Vorbemerkung;Vorbem.
vorgenannt;vorgen.
Versicherungsvertragsgesetz;VVG
Vertragsverletzungsverfahren;VVV
Verwaltungsgerichtsordnung;VwGO
Verwaltungsverfahrensgesetz;VwVfG
Verwaltungsvollstreckungsgesetz;VwVG
Waffengesetz;WaffG
Wohnungseigentumsgesetz;WEG
Wasserhaushaltsgesetz;WHG
zum Beispiel;z.B.
Zivilprozessordnung;ZPO
zusammenfassend;zusf.
zustimmend;zust.
zutreffend;zutr.
Zwangsvollstreckungsgesetz;ZVG
zweifelhaft;zw.
Zeitschrift für Zivilprozess;ZZP
Paragraph;§
Paragraphen;§§
Überblick;Üb.
überwiegend;überw.
Übereinkommen;Übk.
